Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
input/resources/questionnaire/questionnaire-HIV.IReferral.json	4251	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	85	27	0	0	0	0	1	0	0
input/resources/questionnaire/questionnaire-HIV.Prevention.json	4770	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	95	28	0	0	0	0	1	0	0
input/resources/questionnaire/questionnaire-HIV.Surveillance.json	1199	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	34	23	0	0	0	0	1	0	0
input/vocabulary/codesystem/codesystem-concept-codes.json	275835	22	1	0	0	0	0	0	20	216	0	0	2	0	0	0	0	2	0	0	1560	14336	0	0	0	0	44	0	4
input/vocabulary/conceptmap/conceptmap-ICD-10.json	178327	16	0	0	0	0	0	0	18	421	0	0	0	0	0	0	0	1	0	0	1168	288	0	0	0	0	21	0	7
input/vocabulary/conceptmap/conceptmap-ICD-11.json	190781	17	0	0	0	0	0	0	19	146	0	0	0	0	0	0	0	2	0	0	1232	273	0	0	0	0	23	0	7
input/vocabulary/conceptmap/conceptmap-ICF.json	17344	7	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	128	48	0	0	0	0	1	0	0
input/vocabulary/conceptmap/conceptmap-ICHI.json	79820	11	0	0	0	0	0	0	7	44	0	0	0	0	0	0	0	1	0	0	522	105	0	0	0	0	9	0	3
input/vocabulary/conceptmap/conceptmap-LOINC.json	140152	14	0	0	0	0	0	0	15	43	0	0	0	0	0	0	0	1	0	0	921	187	0	0	0	0	16	0	5
input/vocabulary/valueset/valueset-hiv-a-de19.json	843	7	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	21	5116	0	0	0	0	0	0	0
